Код ресурса		Номер	Категория	Значение ресурса
;
;Справка по работе с приложениями
;===========================================
ScriptHeader		001	1CON	{V1}
ScriptDescription	002	1CON	Тестирует исполняемые модули командной строки^: командные сценарии ^(*.cmd, *.bat^), консольные приложения и утилиты, с подробным отображением результатов тестирования и времени выполнения тестов
ScriptUsage			003	1CON	Использование: {V1} [ключи...]
ExecKeys			004	1CON	Ключи:
KeyHelp				005	1CON	{V1}^: {V3}вывод справки по использованию
KeySrcPath			006	1CON	{V1}^: {V3}каталог тестируемых ^(исходных^) исполняемых модулей ^(по умолчанию {V2}^)
KeySrcScript		007	1CON	{V1}^: {V2}имя тестируемого ^(исходного^) исполняемого модуля
KeyTestScript		008	1CON	{V1}^: {V2}имя выполняемого тестового сценария
KeyLocale			009	1CON	{V1}^: {V3}локаль [ru, en, ...] ^(по умолчанию {V2}^)
KeyGreenLine		010	1CON	{V1}^: {V3}признак использования мантры "red/green/refactor" [{V4} - использовать, {V5} - не использовать] ^(по умолчанию {V2}^)
KeyAbortOnFail		011	1CON	{V1}^: {V3}признак прерывания тестирования после первого проваленного теста [{V4} - прерывать, {V5} - не прерывать] ^(по умолчанию {V2}^)
KeySupressOutput	012	1CON	{V1}^: {V3}признак подавления вывода тестовых сценариев [{V4} - подавлять, {V5} - не подавлять] ^(по умолчанию {V2}^)
ExecExamples		013	1CON	Примеры:
ExecExample1		014	1CON	{V1} --help
ExecExplanation1	015	1CON	Вывод справки по использованию
ExecExample2		016	1CON	{V1} 
ExecExplanation2	017	1CON	Выполнение всех тестов для всех тестируемых ^(исходных^) исполняемых модулей с выводом подробной информации
ExecExample3		018	1CON	{V1} -lc:en 
ExecExplanation3	019	1CON	Вывод информации о тестирования на английском языке
ExecExample4		020	1CON	{V1} -ss:src_script.cmd 
ExecExplanation4	021	1CON	Тестирование только исходного сценария src_script.cmd
ExecExample5		022	1CON	{V1} -ss:src_script.cmd -ts:test_script_1.cmd 
ExecExplanation5	023	1CON	Выполнение теста test_script_1.cmd для исходного сценария src_script.cmd
ExecExample6		024	1CON	{V1} -gl:{V2}
ExecExplanation6	025	1CON	Вместо вывода подробной информации о тестировании используется мантра "red/green/refactor"
ExecExample7		026	1CON	{V1} -af:{V2} -so:{V3}
ExecExplanation7	027	1CON	Не подавляется вывод сценариев установки и удаления фикстур, тестовых сценариев, а так же тестирование прерывается после первого проваленного теста
ForTesters			028	1CON	Написание тестов:
TestFunc1			029	1CON	1. Различные результаты тестов
